Name,Generic Name,Brand,Manufacturer,Category,Dosage Form,Strength,Unit,Barcode,Classification,Schedule,DRAP Registration,Country of Origin,Pack Size,Shelf Location,Rack Number,Storage Instructions,MRP,Allow Loose Sale,Min Stock,Max Stock,Reorder Qty,HS Code,FBR UOM,FBR Sale Type,FBR Scenario ID
Panadol Extra,Paracetamol 500mg + Caffeine 30mg,GSK,GlaxoSmithKline Pakistan,tablets,tablet,500mg,tablet,8961234567001,otc,,DRAP-PNL-001,Pakistan,10x10 tablets,Shelf A,R-1,Store below 25°C dry place,4.50,yes,100,2000,500,30049099,TAB,retail,SN001
Brufen,Ibuprofen 200mg,Abbott,Abbott Laboratories Pakistan,tablets,tablet,200mg,tablet,8961234567002,otc,,DRAP-BRF-002,Pakistan,10x10 tablets,Shelf A,R-2,Store below 25°C,6.00,yes,200,1500,500,30049099,TAB,retail,SN001
Augmentin,Amoxicillin 500mg + Clavulanic Acid 125mg,Augmentin,GlaxoSmithKline Pakistan,tablets,tablet,625mg,tablet,8961234567003,controlled,H1,DRAP-AUG-003,Pakistan,14 tablets,Shelf B,R-3,Store below 25°C,38.00,yes,50,500,200,30049099,TAB,retail,SN001
Calpol Syrup,Paracetamol 120mg/5ml,GSK,GlaxoSmithKline Pakistan,syrups,syrup,120mg/5ml,bottle,8961234567004,otc,,DRAP-CAL-004,Pakistan,120ml bottle,Shelf C,R-1,Store below 30°C,85.00,no,20,200,100,30049099,ML,retail,SN001
Risek,Omeprazole 20mg,Risek,Getz Pharma Pakistan,capsules,capsule,20mg,capsule,8961234567005,prescription,,DRAP-RSK-005,Pakistan,14 capsules,Shelf B,R-5,Store below 25°C,15.00,yes,100,800,300,30049099,CAP,retail,SN001
Disprin,Aspirin 75mg,Disprin,Reckitt Benckiser Pakistan,tablets,tablet,75mg,tablet,8961234567006,otc,,DRAP-DSP-006,Pakistan,10 tablets,Shelf A,R-4,Store below 25°C,3.00,yes,100,1000,500,30049099,TAB,retail,SN001
Betnovate Cream,Betamethasone 0.1%,Betnovate,GlaxoSmithKline Pakistan,creams,cream,0.1%,tube,8961234567007,prescription,,DRAP-BTN-007,Pakistan,30g tube,Shelf D,R-2,Store below 25°C,180.00,no,20,100,50,30049099,GRM,retail,SN001
Insulin Mixtard 30,"Insulin Human Mixed (30% soluble, 70% isophane) 100 IU/ml",Mixtard,Novo Nordisk Pakistan,injections,injection,100 IU/ml,vial,8961234567008,prescription,,DRAP-INS-008,Denmark,10ml vial,Cold Storage,Fridge-1,Store at 2-8°C do not freeze,450.00,yes,10,80,30,30049099,ML,retail,SN001
Ventolin Inhaler,Salbutamol 100mcg/dose,Ventolin,GlaxoSmithKline Pakistan,inhalers,inhaler,100mcg/dose,inhaler,8961234567009,prescription,,DRAP-VTL-009,Pakistan,200 doses per inhaler,Shelf E,R-1,Store below 30°C,420.00,no,10,60,20,30049099,NOS,retail,SN001
ORS Plus,Oral Rehydration Salts (WHO formula),ORS,Various,sachets,powder,4.1g per sachet,sachet,8961234567010,otc,,DRAP-ORS-010,Pakistan,30 sachets per box,Shelf F,R-1,Store below 30°C,12.00,yes,100,500,200,30049099,GRM,retail,SN001
Voltaren Gel,Diclofenac Sodium 1%,Voltaren,Novartis Pakistan,creams,gel,1%,tube,8961234567011,otc,,DRAP-VLT-011,Switzerland,20g tube,Shelf D,R-3,Store below 25°C,165.00,no,15,100,40,30049099,GRM,retail,SN001
Xanax,Alprazolam 0.5mg,Xanax,Pfizer Pakistan,tablets,tablet,0.5mg,tablet,8961234567012,controlled,X,DRAP-XNX-012,Pakistan,10x10 tablets,Schedule X Cabinet,Locked-1,Store below 25°C controlled access,8.00,yes,10,100,40,30049099,TAB,retail,SN001
Tobrex Eye Drops,Tobramycin 0.3%,Tobrex,Alcon Pakistan,drops,drops,0.3%,bottle,8961234567013,prescription,,DRAP-TBX-013,Belgium,5ml bottle,Shelf C,R-3,Store below 25°C discard 28 days after opening,420.00,no,15,80,30,30049099,ML,retail,SN001
Flagyl,Metronidazole 400mg,Flagyl,Sanofi Pakistan,tablets,tablet,400mg,tablet,8961234567014,prescription,,DRAP-FLG-014,Pakistan,10x10 tablets,Shelf A,R-5,Store below 25°C,5.00,yes,80,800,300,30049099,TAB,retail,SN001
Vitamin D3,Cholecalciferol 50000 IU,SunPlus,Saami Pharmaceuticals,supplements,capsule,50000 IU,capsule,8961234567015,otc,,DRAP-VTD-015,Pakistan,4 capsules per pack,Shelf G,R-1,Store below 25°C,80.00,yes,30,300,100,30049099,CAP,retail,SN001
